latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,nearest_industrial_km,nearest_industrial_type,nearest_industrial_name,nearest_industrial_region,nearest_industrial_latitude,nearest_industrial_longitude,preliminary_class,nearest_place_km,nearest_place_name,nearest_place_type,in_forest,in_farmland,final_class,place_description
8.75376,78.03644,343.62,0.41,0.45,2026-09-21,835,N20,VIIRS,n,2.0NRT,298.83,6.37,D,10.87173664866683,industrial,Coastal Energen Power Ltd,cpcb_verified,8.7642,78.1348,likely_natural,2.0375517525386138,Pudukottai,village,False,False,agricultural_burn,"Agricultural cropland near Pudukottai (village, 2.0 km)"
8.87008,78.15746,337.82,0.42,0.45,2026-09-21,835,N20,VIIRS,n,2.0NRT,295.35,2.36,D,12.033729310482892,industrial,Coastal Energen Power Ltd,cpcb_verified,8.7642,78.1348,likely_natural,3.0941025266288373,Tharuvaikulam,village,False,False,agricultural_burn,"Agricultural cropland near Tharuvaikulam (village, 3.1 km)"
8.87311,78.08807,345.56,0.41,0.45,2026-09-21,835,N20,VIIRS,n,2.0NRT,299.9,5.3,D,13.153827101400529,industrial,Coastal Energen Power Ltd,cpcb_verified,8.7642,78.1348,likely_natural,5.690571515324547,Pandarampatti,village,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Pandarampatti (5.7 km)
10.81165,78.77667,331.37,0.49,0.48,2026-09-21,835,N20,VIIRS,n,2.0NRT,293.0,2.39,D,4.620457069975929,industrial,BHEL Rolling Product Store,tn_central,10.7706315,78.7834315,likely_natural,0.7759506914797002,Vengur,village,False,True,agricultural_burn,"Agricultural cropland near Vengur (village, 0.8 km)"
8.08818,80.16068,334.78,0.43,0.38,2026-09-22,816,N20,VIIRS,n,2.0NRT,289.15,4.65,D,162.69882983449622,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,3.828975030873126,Pothanegama,village,False,False,agricultural_burn,"Agricultural cropland near Pothanegama (village, 3.8 km)"
8.40038,78.04769,338.12,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,300.27,3.46,D,41.57324377525849,industrial,Coastal Energen Power Ltd,cpcb_verified,8.7642,78.1348,likely_natural,0.44431342416690384,Kulasekharapatnam,village,False,False,agricultural_burn,"Agricultural cropland near Kulasekharapatnam (village, 0.4 km)"
8.4928,80.18259,335.11,0.44,0.38,2026-09-22,816,N20,VIIRS,n,2.0NRT,298.29,3.47,D,130.1498732120876,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,2.011935824303939,Pemaduwa,town,False,False,urban_commercial_fire,Urban / Commercial area (Pemaduwa)
8.60718,80.37472,338.94,0.45,0.39,2026-09-22,816,N20,VIIRS,n,2.0NRT,299.07,7.26,D,139.02240993185177,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,2.477701117206216,Neriyakulam,town,False,False,urban_commercial_fire,Urban / Commercial area (Neriyakulam)
8.66189,78.04949,348.41,0.39,0.36,2026-09-22,816,N20,VIIRS,n,2.0NRT,300.71,4.96,D,14.74250144257194,industrial,Coastal Energen Power Ltd,cpcb_verified,8.7642,78.1348,likely_natural,3.1232147255401923,Sawyerpuram,village,False,False,agricultural_burn,"Agricultural cropland near Sawyerpuram (village, 3.1 km)"
8.67112,80.39031,343.28,0.45,0.39,2026-09-22,816,N20,VIIRS,n,2.0NRT,298.45,3.45,D,136.7548117817306,industrial,Arkay Energy (Rameswaram) Ltd,cpcb_verified,9.2876,79.3129,likely_natural,6.264276893890341,Sanmugapuram,village,False,False,scrub_biomass_burn,Rural scrubland / open biomass near Sanmugapuram (6.3 km)
