osm_id,name,place_type,latitude,longitude,district
3233326142,Naganahalli,village,12.3790595,76.652127,
3233326143,Elegaudana Hundi,village,12.3009264,76.824396,
3233326144,Pillahalli,village,12.2498478,76.7641577,
3233326145,Puttegaudanahundi,village,12.2657833,76.7872247,
3233326146,Ranganathapura,village,12.325051,76.8233289,
3233326147,Rangasamudra,village,12.3063845,76.8306423,
3233326148,Siddalingapura,village,12.3638698,76.6605431,
3233326149,Someshvarapura,village,12.2072665,76.6981096,
3233326150,Tandavapura,village,12.1676668,76.6777295,
3233326151,Tayuru,village,12.2091956,76.8371537,
3233326152,Tumbala,village,12.2738294,76.8565439,
3233326153,Vajamangala,village,12.2913988,76.7364785,
3233326154,Varakodu,village,12.2869955,76.7659282,
3233326155,Varuna,village,12.267192,76.7438715,
3233326156,Yadadore,village,12.24754,76.884146,
3233326157,Yadakola,village,12.2003464,76.8183381,
3233393892,Chennai,city,13.0836939,80.270186,
3233879187,Kodagalli,village,12.3756464,76.8253541,
3234154542,Kanenuru,village,12.0973675,76.518444,
3234247113,Kembal,village,12.12363,76.5852765,
3234403361,Ahalya,village,12.1447598,76.552092,
3234403362,Haginavalu,village,12.0517989,76.5773707,
3234403363,Arasinakere,village,12.1707158,76.5430513,
3234403364,Bidaragudu,village,12.1276872,76.5959497,
3234403365,Chikkanandi,village,12.1165288,76.5213112,
3234403366,Chunchanahalli,village,12.0614166,76.8255339,
3234403367,Dasanuru,village,12.0334796,76.8940567,
3234403368,Doddahomma,village,12.0246383,76.9035797,
3234403369,Duggahalli,village,12.0460937,76.5428445,
3234403370,Gattavadi,village,12.0174872,76.7806292,
3234403371,Ambale,village,12.0392249,76.5852758,
3234403372,Hatvalu,village,12.111998,76.5317964,
3234403373,Hirenandi,village,12.1086469,76.4888096,
3234403374,Huskuru,village,12.0750235,76.5782506,
3234403375,Jinnahalli,village,12.1092751,76.476795,
3234403376,Kallahalli,village,12.1785648,76.4729534,
3234403377,Kanchamalli,village,12.1141301,76.509944,
3234403378,Kappasoge,village,12.07608,76.5053738,
3234403379,Karya,village,12.0732041,76.5547539,
3234403380,Karya,village,12.0888365,76.8672138,
3234403381,Konanuru,village,12.0156354,76.8330929,
3234403382,Kongahalli,village,12.0231647,76.5545235,
3234403383,Kudlapura,village,12.011512,76.7170391,
3234403384,Kumbrahalli,village,12.0383985,76.7194018,
3234403385,Malkundi,village,12.0172104,76.5554776,
3234403386,Paduvala Marahalli,village,12.0216209,76.875847,
3234403387,Pura,village,12.1237683,76.4942062,
3234403388,Shiramalli,village,12.0904709,76.5757201,
3234403389,Taraganahalli,village,12.0698888,76.5177164,
3235902361,Kalegowdanakoppalu,village,12.3385383,76.3622359,
3236772594,Akala,village,12.0574387,76.5004821,
3236772595,Boppanahalli,village,12.0763238,76.3688785,
3236772596,Budanuru,village,12.1182285,76.2860654,
3236772597,Jakalli,village,12.0489064,76.3643521,
3236772598,Chakkodanahalli,village,12.0991125,76.2915326,
3236772599,Chakkuru,village,12.0929131,76.4079691,
3236772600,Chikkakereyuru,village,12.1457122,76.3786045,
3236772601,Hairige,village,12.1035447,76.3832354,
3236772602,Haradanahalli,village,12.1041252,76.4644263,
3236772603,Hebbalaguppe,village,12.0588554,76.3913889,
3236772604,Hirehalli,village,12.0578778,76.2815656,
3236772605,Hosahalli,village,12.1491755,76.2736772,
3236772606,Hunasehalli,village,12.0388048,76.4416884,
3236772607,Ibjala,village,12.1117485,76.4463902,
3236772608,Kattemanuganahalli,village,12.0703419,76.3147854,
3236772609,Katuru,village,12.0740645,76.4427195,
3236772610,Kollegaudanahalli,village,12.0515982,76.3413625,
3236772611,Kulya,village,12.0592946,76.4046169,
3236772612,Kaalihundi,village,12.102528,76.4336575,
3236772613,Lanke,village,12.0531389,76.4610179,
3236772615,Manuganahalli,village,12.0529471,76.4365953,
3236772616,Matakere,village,12.0840671,76.3776982,
3236772617,Metikuppe,village,12.1074769,76.2452901,
3236772618,Naganahalli,village,12.0654376,76.2944877,
3236772620,Yarahalli,village,12.0687514,76.3568664,
3238470071,Echagundla,village,12.0558589,76.6395585,
3238470072,Elachagere,village,12.0173992,76.6566111,
3238470073,Handitavalli,village,12.4548448,76.2119736,
3238470074,Kelluru,village,12.4340398,76.2286207,
3238470075,Kugaluru,village,12.0111462,76.6385984,
3238470076,Muddahalli,village,12.0512121,76.6592372,
3238470078,Naviluru,village,12.0407128,76.6434853,
3238470080,Sindhuvallipura,village,12.0306551,76.6746642,
3238470081,Surahalli,village,12.029562,76.6156261,
3241511773,Akkuru,village,12.2336679,76.9949617,
3241511774,Anasale,village,12.429962,76.9521605,
3241511775,Dyavapattana,village,12.276411,77.0917222,
3241511776,Gajanuru,village,12.3771709,77.1105425,
3241511778,Gulaghatta,village,12.4087904,77.0602309,
3241511779,Gumballi,village,12.0332808,77.0542785,
3241511780,Hemmige,village,12.2164577,77.0176867,
3241511781,Kadaballi,village,12.2928286,77.0438516,
3241511782,Kallarepura,village,12.3886009,77.0093929,
3241511783,Kandegala,village,12.4205887,77.0798349,
3241511784,Kesturu,village,12.0949168,77.0209424,
3241511785,Kyatanahalli,village,12.318123,77.0333192,
3241511786,Madrahalli,village,12.1531302,76.9568206,
3241511787,Mallinathapura,village,12.2930987,77.0217586,
3241511788,Manchanapura,village,12.3389436,77.1104453,
3241511789,Nelamakanahalli,village,12.4238656,77.0425782,
3241511790,Nenanuru,village,12.3722946,76.9916529,
3241511791,Nilasoge,village,12.1986567,76.9344121,
3241511792,Kurubalana Hundi,village,12.2085817,77.0527399,
3241511793,Yaragamballi,village,12.0218093,77.0614933,
3244230512,Bairanatta,village,12.1217889,77.3534379,
3244230513,Belatturu,village,12.0663462,77.2691731,
3244230514,Boppegaudanapura,village,12.2574682,77.0747556,
3244230515,Budubalu,village,12.1538793,77.2469304,
3244230516,Chikkamalapura,village,12.0539892,77.2526548,
3244230517,Chinchahalli,village,12.1319747,77.3158018,
3244230518,Ellemala,village,12.0846984,77.3671949,
3244230519,Gundegala,village,12.1760396,77.1523615,
3244230520,Hanavadi,village,12.2686385,77.028824,
3244230521,Hangarapura,village,12.3439759,77.0168526,
3244230522,Hullamballi,village,12.2603287,76.997042,
3244230523,Hullepura,village,12.0982,77.2923317,
3244230524,Kaggala,village,12.2820796,77.0262927,
3244230525,Kaggalipura,village,12.2307021,77.0983126,
3244230526,Kalihundi,village,12.2133263,77.0821667,
3244230527,Kandayyanapalya,village,12.0391581,77.2409018,
3244230528,Kannuru,village,12.1097527,77.2439656,
3244230529,Kiragasuru,village,12.2461441,77.1098899,
3244230530,Kodagahalli,village,12.2488318,77.0622677,
3244230532,Lokkanahalli,village,12.0204008,77.248435,
3244230533,Palya,village,12.1841367,77.1639932,
3244230534,Purigali,village,12.2583385,77.0117342,
3244230535,Saraguru,village,12.1902119,77.1322378,
3244230536,Saraguru,village,12.2627904,77.0410537,
3244230537,Uddanuru,village,12.0812294,77.2779227,
3244230538,Uganiya,village,12.1997053,77.1665974,
3244230539,Mangala,village,12.1223573,77.2475471,
3244392837,Hejjige,village,12.125306,76.6939246,
3244448708,Perumbara,village,9.6094013,76.7017016,
3244713180,Agasanapura,village,12.4293987,77.128211,
3244713181,Ajjahalli,village,12.5208695,77.0672721,
3244713182,Annuru,village,12.4803116,77.0461153,
3244713183,Bannahalli,village,12.4959397,77.0935835,
3244713184,Bidara Hosahalli,village,12.4561775,77.0201323,
3244713185,Borapura,village,12.5363125,77.0218011,
