osm_id,region,type,name,latitude,longitude,sipcot_verified,sipcot_sector,cpcb_verified,cpcb_name,cpcb_sector
138307618,tn_north,industrial,unnamed,13.1125522,80.2040681,False,,False,,
138337696,tn_north,industrial,unnamed,13.2837212,80.0667306,False,,False,,
138337698,tn_north,industrial,unnamed,13.3889758,80.0203426,False,,False,,
138337699,tn_north,industrial,unnamed,13.1259518,80.016412,False,,False,,
138337700,tn_north,industrial,unnamed,13.2916621,80.063118,False,,False,,
138337702,tn_north,industrial,unnamed,13.2651155,80.0221485,False,,False,,
138337703,tn_north,industrial,unnamed,13.2852717,80.0718843,False,,False,,
138986555,tn_north,industrial,unnamed,12.8682734,79.0900247,False,,False,,
154969592,tn_north,industrial,Metrowater,12.9834379,80.2632646,False,,False,,
155210899,tn_north,industrial,unnamed,13.281881,80.322066,False,,False,,
155210900,tn_north,industrial,unnamed,13.2604976,80.3042516,False,,False,,
155210901,tn_north,industrial,unnamed,13.2865686,80.338279,False,,False,,
155210902,tn_north,industrial,unnamed,13.2896886,80.3349113,False,,False,,
155219391,tn_north,industrial,Sriperumbudur Industrial Park,12.9272239,79.9123046,False,,False,,
155219393,tn_north,industrial,unnamed,12.9450348,79.9395753,True,Auto/Electronics,False,,
155219394,tn_north,industrial,unnamed,12.9247348,79.8838946,False,,False,,
169297851,tn_north,industrial,Wipro CDC7,12.7370555,80.0104568,False,,False,,
174970714,tn_north,industrial,unnamed,12.9884079,79.8962251,False,,False,,
174970718,tn_north,industrial,TVS Delphi,13.0166228,79.9232525,False,,False,,
174970719,tn_north,industrial,unnamed,13.0945382,79.8949775,False,,False,,
174970720,tn_north,industrial,unnamed,13.1248443,79.7714021,False,,False,,
174970721,tn_north,industrial,unnamed,13.0964665,79.9042067,False,,False,,
174970722,tn_north,industrial,unnamed,12.9904003,79.9030437,False,,False,,
174970723,tn_north,industrial,unnamed,12.9854817,79.8994545,False,,False,,
175799894,tn_north,industrial,Thirumudivakkam SIDCO Industrial Estate,12.9720254,80.0894428,False,,False,,
177370708,tn_north,industrial,Dunlop Tyres,13.1033538,80.1531998,False,,False,,
177370813,tn_north,industrial,unnamed,13.0652939,80.1501683,False,,False,,
177370814,tn_north,industrial,unnamed,12.7669305,80.0285085,False,,False,,
177370815,tn_north,industrial,unnamed,13.1007667,80.1519933,False,,False,,
177370817,tn_north,industrial,unnamed,12.7673268,80.0096833,False,,False,,
177370818,tn_north,industrial,unnamed,13.1389447,80.2387737,False,,False,,
177370825,tn_north,industrial,unnamed,13.1400734,80.24301,False,,False,,
177370826,tn_north,industrial,unnamed,13.1446795,80.2346715,False,,False,,
177370827,tn_north,industrial,unnamed,12.7670937,80.0241858,False,,False,,
178473260,tn_north,industrial,unnamed,13.1735576,80.217242,False,,False,,
178495073,tn_north,industrial,unnamed,12.6671547,79.2968187,False,,False,,
178747901,tn_north,industrial,unnamed,13.0577108,80.1316179,False,,False,,
178747902,tn_north,industrial,unnamed,13.0588367,80.1513004,False,,False,,
178747903,tn_north,industrial,unnamed,13.0575244,80.138284,False,,False,,
178752246,tn_north,industrial,unnamed,12.9387172,80.0019839,True,Auto,False,,
178752247,tn_north,industrial,unnamed,13.0461158,80.0233906,False,,False,,
